actionmailer,4.1.1,MIT,"Email composition, delivery, and receiving framework (part of Rails).","Email on Rails. Compose, deliver, receive, and test emails using the familiar controller/view pattern. First-class support for multipart email and attachments."
actionpack,4.1.1,MIT,Web-flow and rendering framework putting the VC in MVC (part of Rails).,"Web apps on Rails. Simple, battle-tested conventions for building and testing MVC web applications. Works with any Rack-compatible server."
actionview,4.1.1,MIT,Rendering framework putting the V in MVC (part of Rails).,"Simple, battle-tested conventions and helpers for building web pages."
activemodel,4.1.1,MIT,A toolkit for building modeling frameworks (part of Rails).,"A toolkit for building modeling frameworks like Active Record. Rich support for attributes, callbacks, validations, serialization, internationalization, and testing."
activerecord,4.1.1,MIT,Object-relational mapper framework (part of Rails).,"Databases on Rails. Build a persistent domain model by mapping database tables to Ruby classes. Strong conventions for associations, validations, aggregations, migrations, and testing come baked-in."
activesupport,4.1.1,MIT,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,"A toolkit of support libraries and Ruby core extensions extracted from the Rails framework. Rich support for multibyte strings, internationalization, time zones, and testing."
addressable,2.3.6,Apache 2.0,URI Implementation,"Addressable is a replacement for the URI implementation that is part of
Ruby's standard library. It more closely conforms to the relevant RFCs and
adds support for IRIs and URI templates."
arel,5.0.1.20140414130214,MIT,Arel is a SQL AST manager for Ruby,"Arel is a SQL AST manager for Ruby. It

1. Simplifies the generation of complex SQL queries
2. Adapts to various RDBMSes

It is intended to be a framework framework; that is, you can build your own ORM
with it, focusing on innovative object and collection modeling as opposed to
database compatibility and query generation."
better_errors,1.1.0,MIT,Better error page for Rails and other Rack apps,"Provides a better error page for Rails and other Rack apps. Includes source code inspection, a live REPL and local/instance variable inspection for all stack frames."
binding_of_caller,0.7.2,MIT,Retrieve the binding of a method's caller. Can also retrieve bindings even further up the stack.,Retrieve the binding of a method's caller. Can also retrieve bindings even further up the stack.
bootstrap-sass,3.1.1.1,MIT,"Twitter's Bootstrap, converted to Sass and ready to drop into Rails or Compass",""
builder,3.2.2,MIT,Builders for MarkUp.,"Builder provides a number of builder objects that make creating structured data
simple to do.  Currently the following builder objects are supported:

* XML Markup
* XML Events"
bundler,1.6.2,MIT,The best way to manage your application's dependencies,"Bundler manages an application's dependencies through its entire life, across many machines, systematically and repeatably"
capistrano,3.2.1,MIT,Capistrano - Welcome to easy deployment with Ruby over SSH,"Capistrano is a utility and framework for executing commands in parallel on multiple remote machines, via SSH."
capybara,2.3.0,MIT,"Capybara aims to simplify the process of integration testing Rack applications, such as Rails, Sinatra or Merb",Capybara is an integration testing tool for rack based web applications. It simulates how a user would interact with a website
childprocess,0.5.3,MIT,This gem aims at being a simple and reliable solution for controlling external programs running in the background on any Ruby / OS combination.,This gem aims at being a simple and reliable solution for controlling external programs running in the background on any Ruby / OS combination.
coderay,1.1.0,MIT,Fast syntax highlighting for selected languages.,"Fast and easy syntax highlighting for selected languages, written in Ruby. Comes with RedCloth integration and LOC counter."
coffee-rails,4.0.1,MIT,CoffeeScript adapter for the Rails asset pipeline.,CoffeeScript adapter for the Rails asset pipeline.
coffee-script,2.2.0,MIT,Ruby CoffeeScript Compiler,Ruby CoffeeScript is a bridge to the JS CoffeeScript compiler.
coffee-script-source,1.7.0,MIT,The CoffeeScript Compiler,"CoffeeScript is a little language that compiles into JavaScript.
    Underneath all of those embarrassing braces and semicolons,
    JavaScript has always had a gorgeous object model at its heart.
    CoffeeScript is an attempt to expose the good parts of JavaScript
    in a simple way."
colorize,0.7.3,GPL-2,Add color methods to String class,"Ruby String class extension. Adds methods to set text color, background color and, text effects on ruby console and command line output, using ANSI escape sequences."
database_cleaner,1.3.0,MIT,Strategies for cleaning databases.  Can be used to ensure a clean state for testing.,Strategies for cleaning databases.  Can be used to ensure a clean state for testing.
debug_inspector,0.0.2,MIT,A Ruby wrapper for the MRI 2.0 debug_inspector API,A Ruby wrapper for the MRI 2.0 debug_inspector API
diff-lcs,1.2.5,"multiple licenses: MIT, Perl Artistic v2, GNU GPL v2",Diff::LCS computes the difference between two Enumerable sequences using the McIlroy-Hunt longest common subsequence (LCS) algorithm,"Diff::LCS computes the difference between two Enumerable sequences using the
McIlroy-Hunt longest common subsequence (LCS) algorithm. It includes utilities
to create a simple HTML diff output format and a standard diff-like tool.

This is release 1.2.4, fixing a bug introduced after diff-lcs 1.1.3 that did
not properly prune common sequences at the beginning of a comparison set.
Thanks to Paul Kunysch for fixing this issue.

Coincident with the release of diff-lcs 1.2.3, we reported an issue with
Rubinius in 1.9 mode
({rubinius/rubinius#2268}[https://github.com/rubinius/rubinius/issues/2268]).
We are happy to report that this issue has been resolved."
erubis,2.7.0,MIT,a fast and extensible eRuby implementation which supports multi-language,"Erubis is an implementation of eRuby and has the following features:

  * Very fast, almost three times faster than ERB and about 10% faster than eruby.
  * Multi-language support (Ruby/PHP/C/Java/Scheme/Perl/Javascript)
  * Auto escaping support
  * Auto trimming spaces around '<% %>'
  * Embedded pattern changeable (default '<% %>')
  * Enable to handle Processing Instructions (PI) as embedded pattern (ex. '<?rb ... ?>')
  * Context object available and easy to combine eRuby template with YAML datafile
  * Print statement available
  * Easy to extend and customize in subclass
  * Ruby on Rails support"
